Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type
3007,292,20,85,12,571,159,232,211,997,24
2067,45,14,30,-4,1116,223,210,118,390,17
2069,278,12,0,0,1134,188,242,193,402,17
2313,299,29,108,23,808,125,214,222,674,6
2113,55,30,134,69,309,223,161,50,365,10
2040,106,28,30,11,272,254,193,48,402,3
1948,347,13,0,0,180,194,218,162,558,10
2035,312,39,162,129,255,92,181,213,426,10
2277,13,31,170,81,671,174,161,109,467,6
3285,206,11,450,58,4124,213,250,171,2188,23
3293,218,12,454,66,4066,207,251,179,2222,23
2866,310,11,30,2,2106,189,232,183,940,33
2870,295,12,30,6,2080,185,237,192,968,33
3006,13,20,150,22,190,196,194,130,1262,24
2977,33,20,297,29,300,212,192,109,1342,24
2092,300,29,30,8,210,127,214,220,655,10
2417,68,21,150,38,947,236,193,79,685,10
2239,341,17,295,104,1176,183,213,168,666,6
2171,27,38,285,120,446,176,133,66,351,10
2140,63,34,150,89,350,227,150,29,331,10
2119,83,34,124,68,335,244,161,18,335,10
2079,102,35,67,35,313,252,170,14,351,3
2054,98,34,42,10,306,251,172,0,362,3
2096,323,17,150,92,313,173,220,185,511,10
2032,35,33,85,12,242,198,151,67,663,1
1979,289,30,60,37,218,123,220,230,531,10
2265,311,20,324,130,566,163,222,198,390,6
2292,16,29,212,96,850,182,167,109,700,6
2138,46,30,192,71,242,214,161,63,732,10
2137,218,23,295,91,335,188,254,193,870,1
2252,257,28,424,204,467,142,243,231,830,1
2416,102,13,175,37,977,242,222,107,711,6
2078,6,9,0,0,1182,209,222,151,457,17
2183,12,28,218,132,426,181,172,117,306,10
2168,75,31,162,117,391,239,166,35,300,10
2145,90,38,134,94,376,246,152,0,301,3
2117,96,38,108,66,362,249,157,0,306,3
2094,100,37,85,43,351,251,164,0,313,3
2055,90,26,30,11,335,248,190,54,335,3
2044,13,14,0,0,331,205,209,139,350,3
2110,334,19,216,106,362,173,211,176,541,10
2029,291,41,120,94,268,80,198,240,511,10
2304,15,28,255,108,892,183,170,112,741,6
2282,51,20,335,84,840,226,192,92,854,6
2035,39,23,210,56,390,214,183,93,450,6
3281,224,15,395,54,4054,200,253,187,2271,23
2889,297,15,90,25,2026,176,234,197,983,33
2981,9,20,162,25,513,194,197,136,1282,24
2338,103,25,339,17,990,252,199,59,750,10
2081,76,2,0,0,1207,222,235,150,485,17
2226,256,37,270,142,1284,111,233,243,636,10
2333,273,27,90,43,845,139,236,230,631,6
2137,94,40,124,86,402,246,150,0,272,3
2114,90,37,95,63,390,246,154,0,277,3
2067,96,35,42,16,371,250,168,0,295,3
2013,293,36,95,65,285,101,207,234,553,10
2314,324,21,277,118,700,163,213,187,499,6
2313,353,25,218,117,841,168,187,150,661,6
3286,219,9,379,59,3990,210,249,175,2330,23
3302,217,9,573,80,3666,210,249,175,2532,23
3385,222,28,674,262,3283,174,253,202,2801,39
2760,93,5,60,-16,360,228,232,138,1020,30
2769,0,9,240,14,1400,206,222,154,655,31
3005,118,17,170,47,518,246,223,100,1507,32
2719,53,18,30,11,1092,227,198,98,1348,23
2906,319,9,162,25,1020,197,232,175,2105,31
2088,59,1,0,0,350,220,235,152,540,14
2135,15,32,319,77,335,174,157,104,764,10
2131,6,26,335,73,350,179,181,131,785,10
2344,249,37,402,14,679,119,237,238,752,1
2382,230,30,379,52,721,159,250,213,731,1
2085,114,24,0,0,1215,252,209,70,503,17
2079,262,2,0,0,1231,215,239,162,513,17
2212,58,27,240,161,492,228,174,63,256,10
2184,90,30,180,133,458,249,179,37,242,3
2139,84,37,120,88,430,242,151,0,242,3
2096,86,42,60,45,408,240,137,0,256,3
2090,286,28,60,46,390,131,226,228,339,10
2098,26,30,95,-12,366,192,162,90,765,1
2068,275,38,134,69,335,93,216,247,541,10
2081,28,32,277,102,450,190,155,82,470,6
2995,36,9,190,18,1382,220,221,136,1657,19
3049,25,20,283,58,124,206,194,118,1170,24
2972,11,19,309,55,339,196,198,134,592,31
2188,21,36,268,111,331,173,142,84,661,10
2178,23,37,283,95,335,173,138,77,680,10
2081,144,13,0,0,1240,238,237,126,532,17
2084,275,8,30,0,1256,199,242,182,541,17
2120,289,33,95,42,1308,110,215,234,577,10
2172,308,33,182,100,1364,114,199,216,624,10
2320,228,17,150,47,1087,193,253,194,837,6
2314,321,23,67,20,927,155,211,193,664,6
2295,34,37,390,217,616,188,135,56,319,10
2183,100,32,180,132,484,252,178,27,212,3
2161,100,35,150,110,470,252,170,16,210,3
2095,89,41,60,44,437,243,143,0,228,3
3267,246,14,306,40,4039,190,250,197,2347,23
2809,316,26,592,54,1015,142,207,200,1266,28
3025,341,17,361,20,295,181,212,168,1273,24
2127,341,16,95,32,371,186,215,167,488,10
2187,230,29,499,144,541,161,251,213,942,1
2323,38,28,400,245,658,207,166,78,324,10
2309,60,31,376,231,636,227,159,43,300,10
2291,68,32,350,213,616,234,160,33,277,10
2235,93,33,268,163,558,250,171,22,216,3
2196,102,33,212,128,525,253,177,23,190,3
2094,92,35,67,43,466,248,163,12,201,3
2074,78,31,42,21,459,242,168,33,216,3
2060,62,19,30,7,454,232,197,90,234,3
2054,311,10,0,0,451,194,233,179,255,4
2114,34,34,268,105,443,194,147,66,446,6
3248,170,4,404,21,4421,223,241,154,2190,38
3278,210,8,309,51,3946,214,247,169,2421,23
2733,334,19,95,26,212,173,211,176,711,30
2729,320,11,0,0,1091,191,229,178,1438,20
2314,329,13,182,-10,90,189,225,175,722,10
2343,253,34,474,13,764,124,238,238,825,1
2073,119,11,30,-1,1276,239,230,120,582,17
2076,271,9,0,0,1291,196,243,187,589,17
2363,247,12,216,73,834,195,249,191,503,6
2328,93,26,390,241,679,250,190,51,309,10
2292,105,32,335,214,638,254,182,30,258,3
2094,99,29,85,41,495,252,185,40,175,3
2078,90,27,67,25,488,249,187,50,192,3
2060,318,11,30,6,481,190,230,179,234,3
2151,351,18,210,87,495,186,207,158,446,10
2162,51,23,85,40,492,224,184,82,769,1
2033,52,27,67,37,390,222,170,66,722,10
2036,285,29,42,13,400,126,224,231,649,10
2195,277,40,228,105,511,85,212,248,553,10
2224,288,36,242,121,531,98,210,239,547,10
2340,212,15,342,83,816,205,253,180,633,6
2141,33,30,258,132,457,200,161,80,466,6
3276,221,9,300,49,3912,210,249,175,2463,23
2745,63,13,234,43,1718,231,214,113,306,31
2118,200,23,30,7,594,205,253,172,484,4
2121,179,25,30,3,573,221,245,141,470,4
2249,6,27,319,165,420,175,175,127,573,10
2246,16,33,339,163,421,174,155,100,594,10
2237,29,34,361,160,424,187,146,73,616,10
2079,120,16,30,6,1288,246,225,103,607,1
2073,72,2,0,0,1302,222,234,149,612,17
2202,281,31,210,124,1434,120,224,236,700,10
2340,309,25,192,46,1101,144,214,207,789,6
2358,234,15,234,68,853,194,252,194,495,6
2366,259,17,258,76,830,176,247,209,466,6
2380,62,27,335,90,764,231,173,58,379,10
2364,86,32,362,74,743,246,168,25,351,3
2280,125,35,323,202,661,252,191,34,242,3
2252,113,31,268,174,624,254,192,41,192,3
2211,97,38,216,139,592,249,159,1,150,3
2184,98,38,190,112,577,249,158,0,134,3
2161,102,37,162,89,564,252,166,0,124,3
2140,105,36,134,72,552,253,173,0,120,3
2103,109,30,85,35,532,254,191,41,134,3
2075,105,24,42,10,518,252,203,66,170,3
2063,81,9,30,0,514,232,225,125,192,3
2064,307,16,0,0,511,174,229,194,216,3
2196,359,23,175,35,616,179,190,143,671,10
2035,281,28,30,12,430,133,230,230,674,10
2178,291,36,190,88,516,99,208,236,589,10
2132,47,27,201,123,390,217,169,70,400,6
3310,223,20,391,89,1879,191,254,195,3416,29
3036,323,15,306,56,424,181,224,182,1463,32
2740,76,20,60,11,1008,240,199,82,1409,20
2863,210,20,297,92,1048,201,254,182,1766,13
2913,337,14,228,39,1006,189,221,170,1995,32
2114,75,7,0,0,726,229,226,130,552,14
2076,322,11,0,0,1329,193,229,176,641,17
2083,309,23,30,10,1343,150,218,205,648,17
2348,192,9,234,54,895,220,248,162,518,6
2363,254,24,277,73,850,159,247,222,459,6
2381,250,24,300,91,828,161,248,220,430,6
2397,158,19,324,107,806,237,239,125,400,6
2376,129,39,350,86,785,249,186,25,371,3
2328,125,44,366,228,743,247,169,0,313,3
2304,126,40,350,213,722,249,179,16,285,3
2285,128,38,335,198,703,250,186,25,256,3
2266,130,36,313,179,684,250,194,38,228,3
2252,136,32,285,174,666,249,207,58,201,3
2240,133,32,256,162,649,251,206,58,175,3
2226,120,33,228,148,633,254,193,38,150,3
2183,98,38,175,111,604,249,158,0,108,3
2161,98,38,150,89,591,250,160,3,95,3
2099,104,29,67,31,560,253,189,42,108,3
2084,106,26,42,16,553,253,197,54,127,3
2065,338,8,0,0,543,202,228,165,175,3
2073,312,24,0,0,541,150,215,202,201,4
2141,293,28,124,77,541,131,221,224,342,10
2192,331,25,277,31,591,153,200,181,547,10
2198,332,24,247,37,604,156,201,179,577,10
2205,333,23,218,44,618,160,203,179,607,10
2090,37,28,108,28,451,207,168,81,660,10
2141,143,26,175,132,379,247,223,87,395,6
3250,32,9,376,23,4439,218,221,138,2262,38
3252,340,6,300,25,4350,208,232,162,2297,38
2790,95,32,134,51,916,251,175,27,1343,13
2771,96,29,108,32,942,251,185,41,1370,13
2848,215,18,255,77,1026,200,254,185,1749,13
2856,223,13,300,85,1012,203,252,183,1805,13
2121,0,9,0,0,768,206,222,154,553,14
2126,2,36,30,15,618,146,147,120,417,14
2161,333,36,85,53,537,117,170,178,365,10
2190,1,41,524,33,566,133,133,113,778,10
2193,8,41,518,36,582,140,126,97,805,10
2078,326,9,0,0,1342,198,230,172,666,17
2320,337,11,339,36,1262,196,225,168,912,2
2360,257,11,228,66,1107,193,247,192,752,6
2365,57,21,212,71,1008,229,191,86,633,6
2358,73,12,218,64,984,234,217,113,603,6
2348,136,13,242,54,937,240,234,121,543,6
2342,180,12,258,48,914,224,247,154,514,6
2348,136,46,366,58,806,238,173,9,365,3
2325,137,46,361,225,785,238,175,12,335,3
2271,128,37,309,180,726,251,191,33,247,3
2252,128,35,295,165,708,252,195,39,218,3
2238,134,32,277,151,691,250,207,58,190,3
2199,119,33,190,121,644,254,191,35,108,3
2153,103,38,134,81,618,251,163,0,67,3
2113,101,33,85,41,598,253,177,24,67,3
2095,105,30,60,27,589,254,187,37,85,3
2068,74,6,0,0,577,228,228,135,134,3
2073,312,18,0,0,573,168,224,195,162,4
2290,119,34,134,61,1024,254,189,32,850,6
2254,121,34,108,56,964,254,191,35,891,6
3227,187,34,371,104,2683,202,240,144,3132,29
3175,183,15,30,-12,2242,222,249,155,3290,29
2958,156,24,216,45,339,239,234,110,808,13
2927,149,11,270,72,558,234,240,135,997,32
2916,135,11,270,61,616,237,235,127,1064,32
2741,262,13,0,0,1033,189,246,196,1489,20
2821,239,20,170,59,1025,178,252,207,1678,13
2848,244,16,258,77,990,186,251,201,1788,13
2371,274,24,350,46,210,150,238,224,778,10
2431,280,22,390,135,330,156,237,218,886,11
2130,76,6,0,0,957,228,229,136,603,14
2126,345,7,0,0,882,206,229,161,601,14
2128,2,11,0,0,858,205,219,151,603,14
2235,40,28,467,152,524,209,166,75,607,10
2076,275,3,0,0,1356,212,240,166,693,1
2170,273,28,175,95,1473,133,234,233,752,10
2189,270,33,201,108,1489,116,229,241,765,10
2349,227,15,268,55,1148,196,253,191,781,6
2353,239,15,256,59,1123,191,252,197,751,6
2384,81,11,240,90,1050,235,221,117,661,6
2368,102,26,242,74,1026,252,196,55,631,6
2347,144,20,256,53,979,244,232,108,571,6
2341,234,23,300,47,912,174,253,209,481,6
2366,179,18,339,72,870,224,248,149,421,6
2354,129,35,361,64,849,251,195,40,391,6
2330,123,41,361,230,828,249,173,0,361,3
2309,125,40,339,209,807,250,178,15,331,3
2287,128,39,319,187,787,249,185,23,301,3
2241,128,34,268,150,732,252,197,42,212,3
2212,134,31,242,125,700,250,208,61,153,3
2172,115,36,153,94,658,253,179,20,67,3
2149,108,37,124,77,646,253,170,9,42,3
2090,105,31,42,18,618,254,186,36,67,3
2070,317,9,0,0,607,196,232,176,124,3
2136,39,28,30,-3,564,208,167,78,636,10
2119,3,21,108,-1,524,186,194,141,607,10
2118,19,20,124,11,518,201,194,124,603,10
2193,265,36,108,75,592,110,229,244,677,10
2315,204,14,234,58,914,212,252,172,752,6
2087,145,35,127,78,365,243,210,64,390,6
2075,157,40,108,66,335,229,210,71,360,6
2796,278,18,272,121,2208,168,240,210,247,33
2816,269,19,319,105,2256,168,243,213,306,33
2947,179,27,150,29,255,220,244,140,792,13
2948,180,27,162,35,277,218,245,142,805,13
2946,166,25,192,38,319,231,239,124,834,13
2934,167,18,255,42,391,232,244,136,882,13
2906,130,11,240,51,616,239,234,123,1106,32
2739,86,7,0,0,993,231,228,130,1477,23
2814,228,20,150,52,997,187,254,198,1691,13
2882,286,17,350,83,938,170,237,206,1911,13
2240,3,34,466,83,618,155,156,123,752,10
2252,307,16,443,110,811,173,229,195,997,10
2075,292,9,0,0,1383,196,239,183,722,17
2111,300,30,60,33,1409,123,212,222,730,10
2336,235,6,342,42,1240,210,245,173,870,2
2336,200,8,324,42,1215,217,247,165,840,2
2350,251,20,285,56,1140,172,249,213,750,6
2377,253,16,272,83,1092,183,249,203,690,6
2329,157,23,295,35,977,238,236,114,540,3
2325,189,19,309,31,955,217,251,159,510,3
2346,224,28,342,52,912,171,252,205,450,6
2353,172,21,361,59,891,229,244,137,420,6
2318,112,38,339,214,850,253,173,11,360,3
2228,130,33,242,128,757,252,200,47,210,3
2214,131,31,228,123,741,252,206,57,180,3
2201,131,30,218,114,726,252,208,61,150,3
2188,132,29,201,101,711,251,211,66,120,3
2161,117,33,150,83,685,254,191,37,60,3
2103,108,32,60,31,655,254,184,31,30,3
2148,240,34,60,45,591,136,244,229,674,10
2212,251,38,108,82,633,114,235,241,700,10
2294,113,32,108,65,1050,254,189,36,876,6
2074,131,34,108,65,361,251,198,44,391,6
3248,224,14,212,26,3863,201,253,186,2605,23
3271,169,8,420,95,3356,227,244,149,2912,23
2773,96,7,268,49,1739,232,230,131,430,31
2929,167,21,212,37,350,232,242,131,890,13
2913,173,17,210,58,511,228,246,143,1040,13
2806,111,30,153,51,819,254,193,43,1340,13
2746,93,13,30,7,953,240,220,108,1466,23
2799,232,20,108,37,981,183,253,203,1677,13
2339,180,1,361,-49,67,219,239,157,618,2
2143,101,6,0,0,934,230,232,135,684,14
2148,358,24,60,18,942,175,187,143,631,10
2270,2,17,402,183,570,194,206,146,426,10
2328,286,12,446,44,1358,185,239,194,942,6
2331,135,1,424,37,1333,221,238,153,960,2
2329,191,12,384,35,1282,219,249,162,900,2
2331,185,15,350,37,1231,222,249,156,841,2
2331,198,14,335,37,1207,215,251,167,811,2
2334,234,18,323,40,1182,186,253,200,781,2
2346,255,25,313,52,1158,154,246,225,751,6
2362,261,26,306,68,1134,149,243,227,721,6
2368,125,29,300,74,1087,253,205,58,661,6
2331,133,30,306,37,1041,251,210,63,601,3
2322,149,26,313,28,1019,243,227,95,571,3
2315,164,24,323,21,997,234,239,122,541,3
2315,196,21,335,21,976,210,252,168,511,3
2333,229,26,366,39,933,171,253,208,451,6
2232,120,32,234,132,799,254,194,40,242,3
2202,129,30,201,102,767,252,207,59,182,3
2117,22,30,162,93,570,186,161,96,541,10
2301,124,26,95,44,1068,253,210,67,882,6
3235,199,24,330,20,1930,203,252,171,3503,29
2910,168,24,190,55,390,231,241,127,949,13
2903,174,22,180,48,469,227,245,138,1041,13
2900,140,8,182,57,600,233,238,137,1168,13
2759,109,18,60,13,886,248,217,90,1431,23
2753,102,13,30,7,914,242,222,107,1456,23
2153,158,24,0,0,900,237,236,114,741,14
2143,135,2,0,0,937,222,238,151,721,14
2166,353,27,90,40,892,163,181,149,537,10
2281,14,28,408,124,824,181,169,112,1019,10
2106,194,23,30,7,1385,209,251,165,785,1
2321,139,14,426,27,1323,240,235,122,932,2
2319,183,19,391,25,1273,222,249,152,872,2
2328,243,21,351,34,1200,175,251,210,782,2
2360,251,25,335,66,1153,158,248,222,722,6
2356,124,33,330,62,1106,253,194,39,663,6
2309,145,26,342,15,1040,245,225,91,573,3
2304,211,20,362,10,997,199,254,183,514,3
2325,243,23,366,212,955,167,251,216,454,3
2337,206,11,342,226,934,213,250,171,424,6
2315,103,37,297,204,895,252,166,6,365,3
2289,105,41,277,185,876,250,157,0,335,3
2264,109,39,255,160,858,252,167,0,306,3
2224,115,32,212,124,824,254,190,36,247,3
2179,126,27,162,79,778,253,209,65,162,3
2146,126,25,124,59,741,252,214,74,85,3
2137,113,29,95,59,731,254,195,47,67,3
2078,97,16,30,2,706,244,215,95,85,3
2078,279,9,0,0,700,196,241,184,108,4
2091,5,30,30,16,607,167,167,124,552,10
2290,131,30,67,33,1080,252,208,60,907,6
2203,59,21,0,0,900,231,190,83,934,5
2195,50,26,30,-2,870,221,176,74,904,5
2162,73,27,0,0,810,239,177,51,845,5
2149,98,19,0,0,780,247,210,84,815,5
2004,106,10,0,0,240,238,228,120,285,6
1990,126,10,0,0,180,238,233,125,228,6
3256,73,16,182,29,4275,237,207,96,2458,38
3237,130,8,95,10,4186,233,236,135,2496,38
3231,158,8,42,4,4126,229,242,146,2522,38
2996,149,27,417,115,832,243,227,95,2657,29
3018,330,17,134,30,180,177,216,178,1406,31
2911,163,15,150,19,295,233,243,137,927,13
2907,155,17,170,23,323,237,239,126,942,13
2899,158,20,162,44,362,237,239,122,973,13
2889,141,15,162,53,607,241,235,119,1211,13
2780,105,21,108,25,819,250,208,75,1398,13
2758,89,16,60,12,875,243,212,95,1448,23
2367,256,23,457,7,228,159,247,221,731,10
2145,144,9,0,0,907,233,239,137,780,14
2177,1,23,95,38,1026,182,191,142,664,10
2241,333,27,180,129,741,149,195,179,297,10
2304,359,31,360,147,757,158,166,133,837,10
2107,242,24,0,0,1418,166,251,216,812,1
2100,76,27,30,19,1430,241,179,50,811,1
2151,279,33,120,75,1463,113,223,239,830,10
2310,145,15,433,16,1315,240,236,122,904,2
2310,202,17,402,16,1266,210,253,172,845,2
2314,237,17,390,20,1242,187,253,200,815,2
2325,266,24,379,31,1218,151,242,225,785,2
2355,253,17,365,61,1172,180,249,206,726,6
2360,143,18,361,66,1149,243,233,111,696,6
2323,121,35,361,29,1104,253,188,30,636,3
2308,129,30,365,14,1082,252,207,60,607,3
2291,177,17,379,-2,1040,226,247,147,547,3
2322,246,21,350,209,977,171,251,213,459,3
2331,185,15,324,218,957,221,249,157,430,6
2304,117,41,277,193,918,251,169,3,371,3
2253,117,41,234,149,882,251,168,0,313,3
2159,125,25,124,59,792,252,213,72,150,3
2124,128,29,85,37,759,253,207,59,95,3
2110,113,30,60,32,750,254,194,44,90,3
2078,85,13,0,0,735,238,218,109,108,3
2165,305,29,175,97,720,128,210,215,285,10
2233,326,26,319,162,735,148,202,189,459,10
2239,329,25,342,175,742,154,202,184,488,10
2139,83,24,0,0,750,245,189,60,789,5
2008,21,3,0,0,270,217,232,152,323,14
2006,35,23,30,2,210,210,182,97,268,14
3236,228,11,150,15,3854,203,251,183,2681,23
2897,54,10,612,147,1490,226,218,124,888,32
2833,106,20,446,82,1634,249,211,81,684,13
2905,183,16,108,13,256,222,249,154,939,33
2899,154,18,150,15,313,239,238,122,967,33
2885,153,18,124,30,350,239,238,122,1015,13
2880,170,19,120,25,366,230,244,137,1032,13
2881,175,21,120,26,384,226,246,141,1050,13
2869,124,22,150,46,644,251,217,82,1276,13
2376,249,24,497,16,268,163,249,219,750,10
2149,68,9,0,0,916,229,223,126,819,14
2151,349,12,30,1,932,198,220,161,808,14
2267,335,27,212,155,738,149,192,176,234,10
2287,347,35,268,178,684,134,162,152,180,10
2104,134,15,0,0,1380,243,231,113,859,1
2103,25,4,0,0,1381,218,231,150,853,1
2102,31,14,30,-2,1383,216,209,127,849,17
2095,8,9,30,-3,1385,210,223,150,845,17
2101,268,18,0,0,1388,172,244,210,842,17
2093,16,6,0,0,1406,215,227,149,842,17
2256,301,28,330,181,1505,132,215,217,926,10
2328,91,16,492,34,1381,243,214,97,967,2
2305,119,18,458,11,1332,248,222,96,908,2
2287,141,22,400,167,1082,246,228,99,582,3
2320,229,20,324,207,999,187,254,199,466,3
2311,135,35,283,198,960,249,199,46,408,3
2220,125,37,192,116,890,252,188,29,295,3
2203,128,34,170,99,875,252,196,41,268,3
2188,129,31,150,88,860,252,204,55,242,3
2164,128,28,108,64,832,252,209,64,192,3
2126,133,31,85,35,797,251,208,60,134,3
2112,135,28,67,25,787,250,215,72,124,3
2103,126,24,42,16,779,251,216,78,120,3
2080,62,8,0,0,765,227,223,130,134,4
2289,36,36,192,128,782,192,140,57,595,6
2257,102,16,0,0,1050,245,217,96,973,6
2250,72,17,0,0,1020,237,206,95,990,6
3224,223,8,85,3,3912,210,248,174,2676,23
2915,36,8,631,31,1379,220,221,137,1100,32
2884,233,2,420,86,2045,215,241,163,808,31
2946,261,11,541,82,1670,192,246,193,1189,31
2895,183,14,85,11,247,223,249,155,966,33
2861,190,23,90,18,474,213,250,158,1168,13
2155,347,9,30,-3,942,204,226,161,847,14
2231,333,36,182,101,934,115,169,179,474,10
2247,331,17,240,135,808,179,217,177,283,10
2324,354,13,437,105,696,197,216,156,503,6
2107,130,19,30,3,1350,247,226,100,895,1
2111,321,17,30,7,1351,175,222,186,883,17
2107,23,22,30,6,1355,202,188,115,875,17
2104,328,13,0,0,1358,187,224,176,872,17
2096,338,8,0,0,1377,204,229,165,872,17
2324,274,21,450,243,1473,159,240,218,1008,10
2335,68,8,499,256,1423,228,225,130,1001,2
2327,96,19,516,33,1398,247,209,84,972,2
2291,157,10,470,-2,1326,231,242,142,883,2
2341,231,26,430,47,1233,171,253,209,765,6
2289,125,29,404,164,1124,253,206,59,618,3
2277,143,22,382,152,1103,245,229,101,589,3
2275,197,18,361,155,1082,212,252,168,560,3
2284,229,24,339,164,1062,175,253,207,532,3
2296,234,29,319,176,1041,159,250,216,503,3
2308,150,27,283,195,1003,243,227,94,446,3
2293,131,38,268,180,984,249,190,31,418,3
2207,125,35,170,96,916,252,190,32,309,3
2191,127,33,150,87,900,253,198,44,283,3
2126,137,32,60,26,836,249,209,61,175,3
2094,136,14,30,7,808,241,234,119,150,3
2146,273,27,108,43,780,139,236,230,258,10
2282,319,28,306,102,816,137,202,199,560,10
2283,8,37,180,122,741,151,142,107,484,10
2323,334,15,301,113,932,185,219,173,845,6
2272,95,18,30,9,1110,245,211,89,926,6
2263,68,13,0,0,1080,233,214,111,939,6
2086,56,22,0,0,570,228,186,80,626,6
2073,76,21,0,0,540,240,196,76,598,14
2015,93,12,0,0,330,239,222,111,402,14
1995,52,22,0,0,120,225,187,85,234,14
2879,198,6,361,127,2154,218,245,163,702,31
2888,173,10,42,4,212,226,245,150,981,32
2873,152,14,85,18,283,236,240,131,1050,33
2866,146,14,60,11,319,239,237,125,1082,33
2851,179,28,60,21,510,219,243,138,1231,13
2848,170,32,85,25,564,224,233,115,1273,13
2842,167,30,90,30,618,229,235,115,1316,13
2825,136,32,90,23,674,249,209,61,1360,13
2414,233,7,391,216,402,208,247,175,780,11
2317,1,9,390,98,720,207,223,153,351,6
2106,300,15,0,0,1320,176,232,196,918,17
2128,354,20,60,24,1323,182,200,152,908,10
2297,294,29,391,222,1476,125,218,226,1006,10
2324,92,24,541,245,1416,248,196,63,977,2
2311,102,25,525,17,1392,252,199,59,947,2
2289,141,10,497,-4,1345,236,237,131,888,2
2291,228,18,485,-2,1321,190,254,196,859,2
2327,215,26,459,33,1253,184,253,192,771,6
2333,172,24,454,39,1231,228,243,133,742,6
2280,124,29,384,155,1146,253,206,59,626,3
2267,142,23,361,142,1124,246,228,98,598,3
2273,220,27,319,153,1084,178,253,199,541,3
2279,130,39,242,166,1008,249,188,28,430,3
2255,123,41,228,142,990,250,174,0,402,3
2234,121,39,201,121,973,251,178,15,376,3
2180,125,33,127,69,927,253,197,43,300,3
2124,137,33,42,24,875,249,207,58,216,3
2110,138,28,30,10,864,249,217,76,201,3
2100,127,19,30,0,854,248,224,95,190,3
2090,90,7,30,0,845,231,229,130,182,3
2094,4,17,0,0,830,195,205,145,182,4
2094,9,17,0,0,824,198,203,139,190,4
2275,294,31,150,65,865,120,216,228,716,6
2285,57,18,67,22,1124,229,200,97,886,6
2261,45,27,60,4,990,216,171,74,957,5
2149,59,21,67,21,750,230,192,85,808,5
2097,53,26,30,3,570,223,174,69,636,5
2049,87,24,0,0,480,247,194,63,552,14
2016,352,10,0,0,330,203,223,158,417,14
3229,30,8,42,5,4057,218,223,140,2656,39
3221,90,3,0,0,3967,224,234,146,2698,23
3225,110,31,192,102,3010,254,190,39,3268,29
3146,204,32,247,-33,1994,185,248,177,3596,29
2878,231,12,361,113,2060,201,251,186,797,31
2844,153,18,30,4,417,239,238,122,1195,33
2829,167,29,60,6,552,229,235,115,1294,13
2777,113,22,42,12,750,251,212,77,1448,13
2328,155,5,395,66,182,226,240,149,495,4
2337,267,19,437,75,255,168,244,213,641,10
2264,310,15,300,152,845,178,229,190,228,10
2299,296,23,306,187,808,151,226,213,150,10
2330,35,8,360,106,760,219,224,140,108,6
2115,163,16,42,5,1293,233,243,135,1008,1
2104,154,9,30,-1,1290,231,241,141,977,17
2109,97,15,0,0,1307,244,216,98,930,1
2146,304,40,85,50,1332,83,185,225,938,10
2290,297,25,365,214,1436,142,222,217,1020,10
2342,77,18,514,261,1458,240,205,89,1012,2
2326,86,27,543,241,1434,247,183,47,983,2
2295,95,21,537,1,1387,248,204,74,924,2
2306,234,24,495,12,1296,173,253,209,808,6
2298,133,30,417,172,1209,251,210,63,693,3
2271,122,28,366,145,1167,254,205,58,636,3
2258,137,24,342,133,1146,249,222,87,607,3
2253,183,22,319,128,1126,220,248,150,579,3
2260,210,29,297,135,1106,183,251,188,552,3
2271,207,33,277,151,1087,180,248,182,524,3
2273,161,37,234,153,1050,229,220,88,470,3
2242,126,38,201,129,1015,250,185,23,417,3
2169,116,32,108,58,953,254,191,38,319,3
2153,123,32,85,42,939,254,198,45,297,3
2100,352,23,0,0,874,172,193,154,212,4
2100,6,19,0,0,849,194,201,141,228,4
2336,18,32,247,175,832,178,157,99,488,6
2262,308,31,90,52,860,122,204,215,649,10
2324,313,21,210,114,924,159,219,198,752,5
2280,33,20,67,17,1020,212,192,108,916,5
2021,343,13,0,0,360,192,219,165,458,14
2838,108,18,424,88,1679,247,217,92,780,13
2846,203,16,258,89,2230,210,253,173,644,33
2852,223,19,277,100,2200,191,254,194,671,31
2868,204,9,330,103,2083,215,248,168,780,31
2843,130,8,0,0,350,233,236,135,1182,33
2830,139,13,0,0,430,240,235,123,1237,33
2807,146,24,30,5,626,244,229,99,1379,13
2361,280,22,430,109,319,155,236,219,696,10
2158,351,11,0,0,981,199,221,159,738,14
2162,322,16,30,9,993,179,223,183,752,10
2302,336,31,277,164,984,136,181,174,424,10
2328,106,8,331,104,785,233,231,130,108,6
2326,108,8,335,102,782,235,231,128,134,2
2115,164,18,30,5,1273,234,242,132,1073,1
2116,8,2,30,0,1266,217,235,155,1048,1
2110,60,9,0,0,1261,228,221,126,1025,17
2106,47,8,0,0,1260,223,223,135,1015,17
2107,354,7,0,0,1260,209,228,157,1006,17
2116,77,16,0,0,1273,238,210,98,960,17
2326,282,25,430,253,1437,144,232,224,1073,10
2339,126,21,518,264,1476,250,220,87,1019,2
2310,101,27,551,152,1429,252,194,52,960,2
2296,100,22,537,138,1406,250,205,72,931,2
2290,238,20,497,150,1338,180,253,206,845,2
2302,226,22,484,162,1316,184,254,200,816,6
